V
19,30
0.93,1.119,-0.8461,1.416,-1.015,-0.2592,-1.594,0.6594,-0.1648,1.722,1.193,0.1592,-1.123,0.7382,2.49,0.443,-1.74,-1.35,1.472,-1.443,1.537,-1.847,-1.593,-1.165,-1.676,-0.6843,-1.725,1.853,-1.289,-1.364
-9.922,-4.976,-3.78,7.654,-0.4081,-4.939,-5.925,-0.8121,0.03646,-0.5237,4.021,12.2,5.836,3.247,-8.848,-5.155,0.6674,9.291,4.15,-0.3309,2.934,3.128,-5.193,4.093,-0.4304,3.805,-14.32,-5.984,-3.545,-9.649
1.652,-0.1077,-1.827,0.9751,11.83,-0.7078,-4.551,-3.487,1.163,7.374,3.376,4.722,-3.106,4.275,-4.082,0.4398,-1.369,5.311,4.328,2.912,14.73,-1.267,5.524,-5.881,-0.7639,-1.404,1.298,1.521,5.536,0.3721
-3.975,-3.608,-3.451,5.113,1.865,-2.836,-6.132,-5.479,6.943,2.108,4.103,0.2495,4.063,-11.18,-1.396,12.27,1.291,-9.822,8.689,-1.766,8.311,-7.84,-9.28,5.593,-1.735,7.648,-12.11,17.76,-4.658,-5.08
7.989,2.33,-11.81,4.013,6.491,4.592,-4.641,2.545,-14.16,7.449,-12.61,2.321,4.218,1.072,7.351,13.16,-0.07661,5.064,1.9,4.457,6.331,-7.284,7.624,-1.955,-4.103,-4.853,5.236,2.31,-9.114,-4.139
13.4,2.298,-4.619,-8.396,-5.233,5.254,-1.31,1.375,3.226,2.439,-5.489,13.71,1.334,6.883,11.06,-11.64,3.413,-4.953,-3.372,0.6551,6.62,-0.2886,-3.679,-4.816,-6.958,3.179,10.18,-3.23,1.638,2.847
9.473,0.1073,3.967,-0.04561,-2.11,7.176,-0.5167,1.37,6.363,-14.39,-6.079,2.06,-9.97,-5.375,10.39,-4.934,-2.829,2.767,1.612,-1.672,7.21,-4.958,-6.798,-0.04309,3.871,2.441,-8.471,2.316,5.166,-16.29
0.02397,0.8493,6.546,0.7961,2.03,7.991,10.2,3.259,10.63,-1.533,10.73,-7.235,3.749,0.2964,12.45,2.202,4.375,-0.158,-14.6,-5.204,-13.19,-4.666,-2.752,2.499,3.657,6.125,-6.492,6.282,-8.156,-8.524
1.623,-0.1807,-2.565,-4.081,3.795,-1.137,-11.83,-0.5479,-1.367,6.686,7.771,-12.29,5.394,-1.018,3.047,-0.9648,-4.532,0.9989,-11.24,-9.501,-12.22,10.66,1.008,-3.599,-13.3,3.851,-4.053,5.152,4.798,-3.559
-7.977,-0.2189,-4.921,16.76,-3.362,-3.79,-1.551,-11.4,1.169,7.858,-10.36,-1.09,-13.18,10.64,1.196,-5.915,-9.448,3.844,6.772,3.884,-2.079,-0.1822,7.134,1.166,-0.2465,-8.962,-4.733,-3.365,9.102,-4.544
1.292,4.413,-2.703,0.2937,-11.12,-1.73,-5.324,-3.842,-3.96,1.822,2.822,-0.6185,2.35,0.0661,5.312,-6.074,-3.238,2.724,7.953,-1.169,-8.012,7.528,-1.151,14.75,2.55,-14.28,-8.487,-3.629,-14.62,-3.535
8.502,15.37,-7.064,-2.335,-10.28,1.478,-12.22,13.49,1.028,4.325,-7.444,4.177,-10.75,3.194,12.23,-7.873,1.911,-2.453,3.534,1.232,12.54,-2.942,-5.94,-1.499,7.398,12.68,16.18,2.812,3.619,-6.78
-0.359,2.287,2.518,8.568,-2.073,-2.928,3.395,5.659,-4.694,2.006,6.916,-5.303,-0.4946,3.955,5.434,0.4754,-2.654,0.5972,10.36,-8.135,-1.091,-12.12,-8.828,-9.564,-2.333,3.626,-2.361,12.71,5.752,-5.015
1.162,11.43,-6.056,12.76,5.795,-4.277,-6.996,2.203,-2.378,-5.482,11.72,-12.13,1.248,-2.758,-1.174,7.893,-4.263,-0.5593,-3.29,-8.744,-4.336,4.388,7.715,-4.348,-4.958,-9.457,-1.51,1.286,-3.773,8.85
-9.607,5.91,8.658,1.259,-4.788,-6.3,4.469,-1.797,9.297,3.794,2.184,1.569,-15.23,-18.47,-12.1,3.835,5.824,-14.95,-5.922,-3.165,0.3378,4.194,-8.829,-5.938,3.561,1.627,-2.72,-4.446,-14.5,17.65
5.18,-6.225,14.62,-6.085,6.539,-9.088,8.787,9.786,-11.74,7.435,4.4,-6.251,-3.336,3.363,-0.6463,5.153,-6.419,-7.106,5.235,0.8997,4.27,-8.109,5.095,-7.887,-9.757,-6.767,-5.992,0.5998,-5.635,4.869
-9.794,-2.552,-12.18,-2.517,-16.08,-15.87,3.322,6.198,11.08,0.06702,6.826,5.093,5.056,6.371,5.319,1.617,-4.597,-7.057,-0.6611,3.95,2.665,-0.1983,0.5672,-3.473,-0.6669,-2.475,1.923,-0.848,2.525,3.374
2.058,-4.84,1.195,-13.56,-6.11,7.911,0.7984,-6.54,-10.47,-1.183,-0.8639,-2.237,0.8987,-7.028,-2.441,7.128,-7.144,-0.2504,6.23,-3.56,-1.331,-0.08229,-7.324,-5.193,-2,-14.39,3.272,0.5133,-0.2151,5.698
6.18,-2.141,8.37,4.221,4.907,14.58,1.343,-0.2334,-5.284,0.666,-0.3927,3.818,1.644,15.76,1.784,-3.486,-2.125,-7.557,4.966,-0.5952,3.802,-13.17,-3.368,5.282,-3.828,5.316,2.112,1.574,2.83,-1.124
