50
7 1 0 3 5 4 2 8 6 2 16
6 7 0 8 1 3 2 5 4 2 18
8 1 5 0 2 3 7 6 4 3 17
4 2 0 1 5 8 7 6 3 2 16
3 2 0 1 5 4 6 8 7 2 16
0 1 2 5 4 6 3 8 7 0 18
0 6 1 7 5 2 8 4 3 0 18
0 8 1 5 7 3 2 4 6 0 18
3 4 6 8 2 0 1 7 5 5 17
8 5 1 4 0 3 6 2 7 4 18
1 4 0 8 6 2 5 3 7 2 18
5 1 8 2 0 3 7 4 6 4 16
7 2 0 6 1 8 5 4 3 2 16
1 0 3 4 2 7 5 8 6 1 17
1 3 4 8 5 2 0 6 7 6 18
6 3 4 1 2 7 8 5 0 8 18
1 3 7 6 2 0 4 8 5 5 17
7 3 8 6 1 4 5 0 2 7 17
3 7 2 1 0 4 8 6 5 4 16
8 7 3 2 1 5 0 4 6 6 18
2 3 0 7 1 6 5 4 8 2 16
7 1 3 8 5 6 2 0 4 7 17
8 1 3 4 0 7 6 5 2 4 18
7 8 1 6 4 0 5 3 2 5 17
8 2 1 5 0 4 7 3 6 4 18
1 4 0 3 5 8 7 2 6 2 18
8 1 3 2 7 4 5 6 0 8 18
8 6 1 2 7 3 4 0 5 7 17
6 1 4 3 2 5 0 8 7 6 16
2 8 1 7 5 0 4 6 3 5 17
3 0 4 2 6 7 1 5 8 1 17
5 1 2 7 0 3 8 4 6 4 16
7 3 0 6 2 4 1 8 5 2 16
1 3 0 2 7 5 8 4 6 2 16
8 5 1 3 0 6 7 4 2 4 18
8 1 2 5 4 0 6 3 7 5 17
3 4 0 1 7 5 8 6 2 2 16
1 5 2 8 7 0 6 4 3 5 17
8 7 2 0 6 3 5 1 4 3 17
4 7 2 1 5 0 6 3 8 5 17
1 5 6 7 0 2 4 8 3 4 16
6 4 0 1 7 2 5 8 3 2 18
1 5 4 8 0 3 7 6 2 4 16
3 4 5 0 8 6 2 1 7 3 17
4 2 0 3 8 5 1 7 6 2 16
2 8 4 7 3 6 0 5 1 6 16
6 7 2 5 1 3 0 8 4 6 16
3 5 6 1 8 4 7 0 2 7 17
0 8 3 1 7 4 2 6 5 0 16
6 3 4 1 2 7 8 5 0 8 18
17.0 16 18
