100
8 2 7 6 5 1 4 0 3 7 19
4 3 6 8 7 1 2 0 5 7 19
1 6 5 7 8 2 3 0 4 7 19
4 0 8 3 5 6 1 2 7 1 23
1 0 2 6 3 7 8 4 5 1 19
4 0 7 8 5 3 1 6 2 1 23
1 4 7 5 3 8 2 0 6 7 23
6 4 8 0 1 3 2 7 5 3 17
8 1 4 3 6 7 5 0 2 7 19
2 3 6 5 1 8 4 0 7 7 21
6 4 8 0 5 1 7 3 2 3 21
4 8 3 0 6 1 7 5 2 3 17
7 1 4 0 2 3 8 6 5 3 19
4 2 6 0 3 1 7 5 8 3 21
7 5 8 6 4 0 1 3 2 5 23
8 7 5 6 2 4 3 0 1 7 29
4 2 7 0 8 3 1 5 6 3 23
2 7 5 8 1 4 6 0 3 7 21
2 0 4 8 5 6 3 1 7 1 21
1 8 5 4 3 7 6 0 2 7 23
5 0 6 7 4 2 8 3 1 1 31
1 0 7 2 4 6 5 3 8 1 27
7 0 8 3 1 4 5 6 2 1 23
1 6 5 7 2 0 4 3 8 5 21
7 3 6 4 1 0 5 2 8 5 21
2 8 7 3 5 4 6 0 1 7 23
4 0 7 5 3 1 8 2 6 1 25
6 0 1 2 8 7 3 5 4 1 25
6 4 2 5 1 0 7 8 3 5 23
2 8 6 3 4 5 7 0 1 7 21
6 0 1 2 3 8 4 7 5 1 21
6 1 5 7 4 3 8 0 2 7 27
1 2 8 4 3 0 7 6 5 5 11
5 0 8 3 1 7 4 6 2 1 27
8 0 4 2 6 7 5 1 3 1 27
1 6 5 0 7 2 3 8 4 3 21
7 5 4 8 1 0 3 6 2 5 27
8 4 3 5 7 0 6 1 2 5 27
8 4 1 3 6 5 7 0 2 7 17
1 5 6 2 7 3 8 0 4 7 17
3 6 4 0 7 8 5 2 1 3 23
2 6 8 5 7 3 1 0 4 7 15
8 5 3 7 4 0 6 1 2 5 17
1 6 4 0 7 8 3 2 5 3 19
8 0 7 1 6 5 2 4 3 1 27
8 7 2 0 5 4 3 6 1 3 25
1 7 6 3 4 0 8 2 5 5 23
6 4 5 3 1 0 2 7 8 5 21
3 7 6 1 5 0 8 2 4 5 19
4 2 1 8 5 3 6 0 7 7 21
2 6 1 5 8 0 7 4 3 5 21
3 6 7 5 2 0 8 4 1 5 25
3 5 8 1 6 0 7 4 2 5 19
5 6 2 1 7 4 8 0 3 7 19
2 7 5 6 3 0 4 8 1 5 25
5 8 2 0 4 1 3 6 7 3 31
3 0 7 8 6 2 1 4 5 1 29
4 0 8 3 6 1 2 7 5 1 17
2 8 3 7 6 5 1 0 4 7 21
5 4 1 6 3 0 7 2 8 5 31
2 6 8 1 7 0 3 4 5 5 27
8 3 2 0 7 1 4 6 5 3 17
2 0 8 1 6 5 4 3 7 1 21
2 4 6 3 5 0 8 7 1 5 21
3 7 5 6 1 0 4 8 2 5 23
3 0 7 1 6 2 8 5 4 1 15
8 1 2 3 6 0 7 4 5 5 17
3 7 8 2 6 0 5 4 1 5 25
6 5 7 4 8 0 1 2 3 5 27
4 5 2 7 1 0 8 6 3 5 21
5 2 4 6 8 1 7 0 3 7 27
3 0 7 4 5 6 1 2 8 1 25
3 0 5 1 4 2 6 8 7 1 17
4 5 6 8 2 0 1 7 3 5 21
7 1 8 6 2 0 5 3 4 5 17
1 3 6 4 7 8 2 0 5 7 21
8 0 5 1 3 6 2 7 4 1 17
5 1 4 0 3 2 8 6 7 3 19
1 3 8 2 7 6 4 0 5 7 23
7 2 6 8 1 4 5 0 3 7 23
7 1 8 4 2 0 5 6 3 5 21
4 1 8 2 6 0 7 5 3 5 15
3 8 7 1 5 0 2 4 6 5 25
7 3 2 5 6 0 4 8 1 5 23
7 2 3 1 4 0 6 5 8 5 17
1 0 7 6 3 5 2 8 4 1 21
2 6 4 1 5 3 8 0 7 7 17
3 1 6 0 8 5 2 4 7 3 23
1 3 8 0 4 6 2 5 7 3 23
8 5 2 4 7 1 3 0 6 7 23
4 0 2 6 3 7 8 5 1 1 23
4 6 5 8 2 0 3 7 1 5 25
1 4 5 6 3 8 2 0 7 7 19
4 7 8 2 3 6 1 0 5 7 23
2 8 4 0 1 5 7 6 3 3 19
8 7 4 0 5 6 1 3 2 3 27
1 0 8 5 4 7 3 2 6 1 29
3 7 2 0 1 6 5 4 8 3 25
7 3 5 2 4 1 6 0 8 7 17
3 6 1 0 7 4 2 8 5 3 19
21.9 11 31
