result
2001,3
4.8,0,0
4.81,0,0
4.82,0,0
4.83,0,0
4.84,0,0
4.85,0,0
4.86,0,0
4.87,0,0
4.88,0,0
4.89,0,0
4.9,0,0
4.91,0,0
4.92,0,0
4.93,0,0
4.94,0,0
4.95,0,0
4.96,0,0
4.97,0,0
4.98,0,0
4.99,0,0
5,0,0
5.01,0,0
5.02,1.051e-005,0.002099
5.03,5.088e-005,0.005967
5.04,0.0001374,0.01133
5.05,0.0002839,0.01796
5.06,0.0005021,0.02566
5.07,0.0008019,0.03428
5.08,0.001192,0.04369
5.09,0.001679,0.05376
5.1,0.00227,0.0644
5.11,0.00297,0.07553
5.12,0.003783,0.08708
5.13,0.004713,0.09898
5.14,0.005764,0.1112
5.15,0.006938,0.1236
5.16,0.008238,0.1363
5.17,0.009665,0.1491
5.18,0.01122,0.162
5.19,0.01291,0.1751
5.2,0.01472,0.1882
5.21,0.01667,0.2013
5.22,0.01875,0.2145
5.23,0.02096,0.2277
5.24,0.0233,0.2408
5.25,0.02578,0.2538
5.26,0.02838,0.2668
5.27,0.03111,0.2798
5.28,0.03398,0.2926
5.29,0.03696,0.3053
5.3,0.04008,0.3178
5.31,0.04332,0.3302
5.32,0.04668,0.3425
5.33,0.05017,0.3546
5.34,0.05378,0.3665
5.35,0.0575,0.3783
5.36,0.06134,0.3899
5.37,0.0653,0.4013
5.38,0.06937,0.4125
5.39,0.07355,0.4235
5.4,0.07783,0.4343
5.41,0.08223,0.445
5.42,0.08673,0.4554
5.43,0.09134,0.4657
5.44,0.09605,0.4758
5.45,0.1009,0.4857
5.46,0.1058,0.4954
5.47,0.1108,0.505
5.48,0.1159,0.5144
5.49,0.121,0.5237
5.5,0.1263,0.5328
5.51,0.1317,0.5418
5.52,0.1372,0.5506
5.53,0.1427,0.5594
5.54,0.1484,0.568
5.55,0.1541,0.5766
5.56,0.1599,0.585
5.57,0.1658,0.5934
5.58,0.1718,0.6018
5.59,0.1778,0.6101
5.6,0.184,0.6183
5.61,0.1902,0.6265
5.62,0.1965,0.6347
5.63,0.2029,0.6429
5.64,0.2093,0.6511
5.65,0.2159,0.6593
5.66,0.2225,0.6675
5.67,0.2292,0.6757
5.68,0.236,0.684
5.69,0.2429,0.6924
5.7,0.2499,0.7007
5.71,0.2569,0.7092
5.72,0.2641,0.7177
5.73,0.2713,0.7263
5.74,0.2786,0.735
5.75,0.286,0.7438
5.76,0.2935,0.7526
5.77,0.3011,0.7616
5.78,0.3087,0.7706
5.79,0.3165,0.7798
5.8,0.3243,0.789
5.81,0.3322,0.7984
5.82,0.3403,0.8078
5.83,0.3484,0.8174
5.84,0.3566,0.8271
5.85,0.3649,0.8368
5.86,0.3734,0.8467
5.87,0.3819,0.8567
5.88,0.3905,0.8667
5.89,0.3992,0.8769
5.9,0.408,0.8871
5.91,0.417,0.8975
5.92,0.426,0.9079
5.93,0.4351,0.9184
5.94,0.4444,0.9289
5.95,0.4537,0.9395
5.96,0.4631,0.9502
5.97,0.4727,0.961
5.98,0.4824,0.9718
5.99,0.4921,0.9826
6,0.502,0.9935
6.01,0.512,1.004
6.02,0.5221,1.015
6.03,0.5323,1.026
6.04,0.5426,1.037
6.05,0.5531,1.048
6.06,0.5636,1.059
6.07,0.5742,1.07
6.08,0.585,1.081
6.09,0.5959,1.092
6.1,0.6068,1.103
6.11,0.6179,1.114
6.12,0.6291,1.125
6.13,0.6404,1.136
6.14,0.6518,1.147
6.15,0.6634,1.158
6.16,0.675,1.168
6.17,0.6867,1.179
6.18,0.6986,1.19
6.19,0.7105,1.2
6.2,0.7226,1.211
6.21,0.7347,1.221
6.22,0.747,1.232
6.23,0.7594,1.242
6.24,0.7719,1.253
6.25,0.7844,1.263
6.26,0.7971,1.273
6.27,0.8099,1.283
6.28,0.8228,1.293
6.29,0.8358,1.303
6.3,0.8488,1.313
6.31,0.862,1.323
6.32,0.8753,1.333
6.33,0.8887,1.343
6.34,0.9022,1.353
6.35,0.9158,1.363
6.36,0.9294,1.372
6.37,0.9432,1.382
6.38,0.9571,1.392
6.39,0.971,1.401
6.4,0.9851,1.411
6.41,0.9993,1.421
6.42,1.014,1.43
6.43,1.028,1.44
6.44,1.042,1.449
6.45,1.057,1.459
6.46,1.071,1.468
6.47,1.086,1.478
6.48,1.101,1.487
6.49,1.116,1.496
6.5,1.131,1.506
6.51,1.146,1.515
6.52,1.161,1.525
6.53,1.177,1.534
6.54,1.192,1.544
6.55,1.207,1.553
6.56,1.223,1.563
6.57,1.239,1.572
6.58,1.254,1.582
6.59,1.27,1.592
6.6,1.286,1.601
6.61,1.302,1.611
6.62,1.319,1.621
6.63,1.335,1.63
6.64,1.351,1.64
6.65,1.368,1.65
6.66,1.384,1.659
6.67,1.401,1.669
6.68,1.418,1.679
6.69,1.434,1.689
6.7,1.451,1.699
6.71,1.468,1.709
6.72,1.485,1.719
6.73,1.503,1.729
6.74,1.52,1.739
6.75,1.537,1.749
6.76,1.555,1.759
6.77,1.573,1.769
6.78,1.59,1.779
6.79,1.608,1.789
6.8,1.626,1.8
6.81,1.644,1.81
6.82,1.662,1.82
6.83,1.681,1.83
6.84,1.699,1.84
6.85,1.717,1.851
6.86,1.736,1.861
6.87,1.755,1.871
6.88,1.773,1.881
6.89,1.792,1.892
6.9,1.811,1.902
6.91,1.83,1.912
6.92,1.85,1.923
6.93,1.869,1.933
6.94,1.888,1.943
6.95,1.908,1.954
6.96,1.927,1.964
6.97,1.947,1.974
6.98,1.967,1.984
6.99,1.987,1.995
7,2.007,2.005
7.01,2.027,2.015
7.02,2.047,2.025
7.03,2.067,2.036
7.04,2.088,2.046
7.05,2.108,2.056
7.06,2.129,2.066
7.07,2.149,2.076
7.08,2.17,2.086
7.09,2.191,2.096
7.1,2.212,2.107
7.11,2.233,2.117
7.12,2.255,2.127
7.13,2.276,2.137
7.14,2.297,2.147
7.15,2.319,2.157
7.16,2.34,2.167
7.17,2.362,2.177
7.18,2.384,2.187
7.19,2.406,2.197
7.2,2.428,2.207
7.21,2.45,2.217
7.22,2.472,2.226
7.23,2.495,2.236
7.24,2.517,2.246
7.25,2.539,2.256
7.26,2.562,2.266
7.27,2.585,2.276
7.28,2.608,2.286
7.29,2.63,2.296
7.3,2.653,2.305
7.31,2.677,2.315
7.32,2.7,2.325
7.33,2.723,2.335
7.34,2.747,2.345
7.35,2.77,2.355
7.36,2.794,2.365
7.37,2.817,2.374
7.38,2.841,2.384
7.39,2.865,2.394
7.4,2.889,2.404
7.41,2.913,2.414
7.42,2.937,2.424
7.43,2.962,2.433
7.44,2.986,2.443
7.45,3.01,2.453
7.46,3.035,2.463
7.47,3.06,2.473
7.48,3.084,2.483
7.49,3.109,2.493
7.5,3.134,2.503
7.51,3.159,2.513
7.52,3.185,2.523
7.53,3.21,2.533
7.54,3.235,2.543
7.55,3.261,2.552
7.56,3.286,2.562
7.57,3.312,2.572
7.58,3.338,2.582
7.59,3.364,2.592
7.6,3.39,2.602
7.61,3.416,2.612
7.62,3.442,2.622
7.63,3.468,2.633
7.64,3.494,2.643
7.65,3.521,2.653
7.66,3.548,2.663
7.67,3.574,2.673
7.68,3.601,2.683
7.69,3.628,2.693
7.7,3.655,2.703
7.71,3.682,2.713
7.72,3.709,2.723
7.73,3.736,2.733
7.74,3.764,2.743
7.75,3.791,2.753
7.76,3.819,2.763
7.77,3.846,2.774
7.78,3.874,2.784
7.79,3.902,2.794
7.8,3.93,2.804
7.81,3.958,2.814
7.82,3.986,2.824
7.83,4.015,2.834
7.84,4.043,2.844
7.85,4.072,2.854
7.86,4.1,2.864
7.87,4.129,2.874
7.88,4.158,2.884
7.89,4.187,2.894
7.9,4.216,2.904
7.91,4.245,2.915
7.92,4.274,2.925
7.93,4.303,2.935
7.94,4.333,2.945
7.95,4.362,2.955
7.96,4.392,2.965
7.97,4.421,2.975
7.98,4.451,2.985
7.99,4.481,2.995
8,4.511,3.005
8.01,4.541,3.015
8.02,4.571,3.025
8.03,4.602,3.035
8.04,4.632,3.045
8.05,4.663,3.055
8.06,4.693,3.065
8.07,4.724,3.075
8.08,4.755,3.085
8.09,4.786,3.095
8.1,4.817,3.105
8.11,4.848,3.115
8.12,4.879,3.125
8.13,4.91,3.135
8.14,4.942,3.144
8.15,4.973,3.154
8.16,5.005,3.164
8.17,5.036,3.174
8.18,5.068,3.184
8.19,5.1,3.194
8.2,5.132,3.204
8.21,5.164,3.214
8.22,5.196,3.224
8.23,5.229,3.234
8.24,5.261,3.244
8.25,5.293,3.254
8.26,5.326,3.264
8.27,5.359,3.274
8.28,5.391,3.284
8.29,5.424,3.294
8.3,5.457,3.304
8.31,5.49,3.314
8.32,5.524,3.324
8.33,5.557,3.334
8.34,5.59,3.344
8.35,5.624,3.354
8.36,5.657,3.364
8.37,5.691,3.374
8.38,5.725,3.384
8.39,5.759,3.394
8.4,5.793,3.404
8.41,5.827,3.414
8.42,5.861,3.424
8.43,5.895,3.434
8.44,5.93,3.444
8.45,5.964,3.454
8.46,5.999,3.464
8.47,6.033,3.474
8.48,6.068,3.484
8.49,6.103,3.494
8.5,6.138,3.504
8.51,6.173,3.514
8.52,6.208,3.524
8.53,6.244,3.534
8.54,6.279,3.544
8.55,6.315,3.554
8.56,6.35,3.564
8.57,6.386,3.574
8.58,6.422,3.584
8.59,6.457,3.594
8.6,6.493,3.604
8.61,6.53,3.614
8.62,6.566,3.624
8.63,6.602,3.634
8.64,6.638,3.644
8.65,6.675,3.654
8.66,6.711,3.664
8.67,6.748,3.674
8.68,6.785,3.684
8.69,6.822,3.694
8.7,6.859,3.704
8.71,6.896,3.714
8.72,6.933,3.724
8.73,6.97,3.734
8.74,7.008,3.744
8.75,7.045,3.754
8.76,7.083,3.764
8.77,7.121,3.774
8.78,7.158,3.784
8.79,7.196,3.794
8.8,7.234,3.804
8.81,7.272,3.814
8.82,7.311,3.824
8.83,7.349,3.834
8.84,7.387,3.844
8.85,7.426,3.854
8.86,7.464,3.864
8.87,7.503,3.874
8.88,7.542,3.884
8.89,7.581,3.894
8.9,7.62,3.904
8.91,7.659,3.914
8.92,7.698,3.924
8.93,7.737,3.934
8.94,7.777,3.944
8.95,7.816,3.954
8.96,7.856,3.964
8.97,7.895,3.974
8.98,7.935,3.984
8.99,7.975,3.994
9,8.015,4.004
9.01,8.055,4.014
9.02,8.095,4.024
9.03,8.136,4.034
9.04,8.176,4.044
9.05,8.217,4.054
9.06,8.257,4.064
9.07,8.298,4.074
9.08,8.339,4.084
9.09,8.38,4.094
9.1,8.421,4.104
9.11,8.462,4.114
9.12,8.503,4.124
9.13,8.544,4.134
9.14,8.585,4.144
9.15,8.627,4.154
9.16,8.669,4.164
9.17,8.71,4.174
9.18,8.752,4.184
9.19,8.794,4.194
9.2,8.836,4.204
9.21,8.878,4.214
9.22,8.92,4.224
9.23,8.962,4.234
9.24,9.005,4.244
9.25,9.047,4.254
9.26,9.09,4.264
9.27,9.133,4.274
9.28,9.175,4.284
9.29,9.218,4.294
9.3,9.261,4.304
9.31,9.304,4.314
9.32,9.348,4.324
9.33,9.391,4.334
9.34,9.434,4.344
9.35,9.478,4.354
9.36,9.521,4.364
9.37,9.565,4.374
9.38,9.609,4.384
9.39,9.653,4.394
9.4,9.697,4.404
9.41,9.741,4.414
9.42,9.785,4.424
9.43,9.829,4.434
9.44,9.874,4.444
9.45,9.918,4.454
9.46,9.963,4.464
9.47,10.01,4.474
9.48,10.05,4.484
9.49,10.1,4.494
9.5,10.14,4.504
9.51,10.19,4.514
9.52,10.23,4.524
9.53,10.28,4.534
9.54,10.32,4.544
9.55,10.37,4.554
9.56,10.41,4.564
9.57,10.46,4.574
9.58,10.51,4.584
9.59,10.55,4.594
9.6,10.6,4.604
9.61,10.64,4.614
9.62,10.69,4.624
9.63,10.74,4.634
9.64,10.78,4.644
9.65,10.83,4.654
9.66,10.88,4.664
9.67,10.92,4.674
9.68,10.97,4.684
9.69,11.02,4.694
9.7,11.06,4.704
9.71,11.11,4.714
9.72,11.16,4.724
9.73,11.2,4.734
9.74,11.25,4.744
9.75,11.3,4.754
9.76,11.35,4.764
9.77,11.39,4.774
9.78,11.44,4.784
9.79,11.49,4.794
9.8,11.54,4.804
9.81,11.59,4.814
9.82,11.63,4.824
9.83,11.68,4.834
9.84,11.73,4.844
9.85,11.78,4.854
9.86,11.83,4.864
9.87,11.88,4.874
9.88,11.93,4.884
9.89,11.97,4.894
9.9,12.02,4.904
9.91,12.07,4.914
9.92,12.12,4.924
9.93,12.17,4.934
9.94,12.22,4.944
9.95,12.27,4.954
9.96,12.32,4.964
9.97,12.37,4.974
9.98,12.42,4.984
9.99,12.47,4.994
10,12.52,5.004
10.01,12.57,5.01
10.02,12.62,5.012
10.03,12.67,5.011
10.04,12.72,5.008
10.05,12.77,5.003
10.06,12.82,4.995
10.07,12.87,4.987
10.08,12.92,4.976
10.09,12.97,4.965
10.1,13.02,4.953
10.11,13.07,4.94
10.12,13.12,4.926
10.13,13.17,4.912
10.14,13.22,4.897
10.15,13.26,4.881
10.16,13.31,4.866
10.17,13.36,4.85
10.18,13.41,4.834
10.19,13.46,4.818
10.2,13.51,4.801
10.21,13.55,4.785
10.22,13.6,4.769
10.23,13.65,4.752
10.24,13.7,4.736
10.25,13.74,4.72
10.26,13.79,4.704
10.27,13.84,4.689
10.28,13.89,4.673
10.29,13.93,4.658
10.3,13.98,4.643
10.31,14.03,4.629
10.32,14.07,4.615
10.33,14.12,4.601
10.34,14.16,4.587
10.35,14.21,4.574
10.36,14.25,4.561
10.37,14.3,4.549
10.38,14.35,4.537
10.39,14.39,4.525
10.4,14.44,4.514
10.41,14.48,4.503
10.42,14.53,4.493
10.43,14.57,4.482
10.44,14.62,4.473
10.45,14.66,4.463
10.46,14.71,4.454
10.47,14.75,4.445
10.48,14.79,4.437
10.49,14.84,4.428
10.5,14.88,4.42
10.51,14.93,4.413
10.52,14.97,4.405
10.53,15.01,4.398
10.54,15.06,4.391
10.55,15.1,4.384
10.56,15.15,4.377
10.57,15.19,4.37
10.58,15.23,4.364
10.59,15.28,4.357
10.6,15.32,4.351
10.61,15.36,4.345
10.62,15.41,4.338
10.63,15.45,4.332
10.64,15.49,4.325
10.65,15.54,4.319
10.66,15.58,4.313
10.67,15.62,4.306
10.68,15.67,4.299
10.69,15.71,4.292
10.7,15.75,4.286
10.71,15.8,4.279
10.72,15.84,4.271
10.73,15.88,4.264
10.74,15.92,4.256
10.75,15.97,4.249
10.76,16.01,4.241
10.77,16.05,4.233
10.78,16.09,4.224
10.79,16.14,4.216
10.8,16.18,4.207
10.81,16.22,4.198
10.82,16.26,4.189
10.83,16.3,4.18
10.84,16.35,4.17
10.85,16.39,4.161
10.86,16.43,4.151
10.87,16.47,4.14
10.88,16.51,4.13
10.89,16.55,4.12
10.9,16.59,4.109
10.91,16.63,4.098
10.92,16.68,4.087
10.93,16.72,4.076
10.94,16.76,4.065
10.95,16.8,4.053
10.96,16.84,4.042
10.97,16.88,4.03
10.98,16.92,4.019
10.99,16.96,4.007
11,17,3.995
11.01,17.04,3.983
11.02,17.08,3.971
11.03,17.12,3.959
11.04,17.16,3.947
11.05,17.2,3.935
11.06,17.24,3.923
11.07,17.28,3.911
11.08,17.31,3.9
11.09,17.35,3.888
11.1,17.39,3.876
11.11,17.43,3.864
11.12,17.47,3.852
11.13,17.51,3.841
11.14,17.55,3.829
11.15,17.58,3.817
11.16,17.62,3.806
11.17,17.66,3.795
11.18,17.7,3.783
11.19,17.74,3.772
11.2,17.77,3.761
11.21,17.81,3.75
11.22,17.85,3.74
11.23,17.89,3.729
11.24,17.92,3.718
11.25,17.96,3.708
11.26,18,3.697
11.27,18.04,3.687
11.28,18.07,3.677
11.29,18.11,3.667
11.3,18.15,3.657
11.31,18.18,3.647
11.32,18.22,3.638
11.33,18.25,3.628
11.34,18.29,3.618
11.35,18.33,3.609
11.36,18.36,3.6
11.37,18.4,3.59
11.38,18.43,3.581
11.39,18.47,3.572
11.4,18.51,3.563
11.41,18.54,3.554
11.42,18.58,3.545
11.43,18.61,3.536
11.44,18.65,3.527
11.45,18.68,3.518
11.46,18.72,3.509
11.47,18.75,3.5
11.48,18.79,3.491
11.49,18.82,3.482
11.5,18.86,3.473
11.51,18.89,3.464
11.52,18.93,3.455
11.53,18.96,3.446
11.54,19,3.437
11.55,19.03,3.428
11.56,19.06,3.419
11.57,19.1,3.41
11.58,19.13,3.401
11.59,19.17,3.392
11.6,19.2,3.382
11.61,19.23,3.373
11.62,19.27,3.364
11.63,19.3,3.354
11.64,19.34,3.345
11.65,19.37,3.335
11.66,19.4,3.325
11.67,19.44,3.316
11.68,19.47,3.306
11.69,19.5,3.296
11.7,19.53,3.286
11.71,19.57,3.276
11.72,19.6,3.266
11.73,19.63,3.256
11.74,19.66,3.246
11.75,19.7,3.236
11.76,19.73,3.226
11.77,19.76,3.215
11.78,19.79,3.205
11.79,19.83,3.195
11.8,19.86,3.184
11.81,19.89,3.174
11.82,19.92,3.164
11.83,19.95,3.153
11.84,19.98,3.143
11.85,20.02,3.132
11.86,20.05,3.122
11.87,20.08,3.111
11.88,20.11,3.1
11.89,20.14,3.09
11.9,20.17,3.079
11.91,20.2,3.069
11.92,20.23,3.058
11.93,20.26,3.047
11.94,20.29,3.037
11.95,20.32,3.026
11.96,20.35,3.016
11.97,20.38,3.005
11.98,20.41,2.995
11.99,20.44,2.984
12,20.47,2.974
12.01,20.5,2.963
12.02,20.53,2.953
12.03,20.56,2.943
12.04,20.59,2.932
12.05,20.62,2.922
12.06,20.65,2.912
12.07,20.68,2.901
12.08,20.71,2.891
12.09,20.74,2.881
12.1,20.77,2.871
12.11,20.79,2.861
12.12,20.82,2.85
12.13,20.85,2.84
12.14,20.88,2.83
12.15,20.91,2.82
12.16,20.94,2.81
12.17,20.96,2.8
12.18,20.99,2.791
12.19,21.02,2.781
12.2,21.05,2.771
12.21,21.08,2.761
12.22,21.1,2.751
12.23,21.13,2.741
12.24,21.16,2.732
12.25,21.19,2.722
12.26,21.21,2.712
12.27,21.24,2.702
12.28,21.27,2.693
12.29,21.29,2.683
12.3,21.32,2.673
12.31,21.35,2.664
12.32,21.37,2.654
12.33,21.4,2.644
12.34,21.43,2.635
12.35,21.45,2.625
12.36,21.48,2.615
12.37,21.5,2.606
12.38,21.53,2.596
12.39,21.56,2.586
12.4,21.58,2.576
12.41,21.61,2.567
12.42,21.63,2.557
12.43,21.66,2.547
12.44,21.68,2.537
12.45,21.71,2.528
12.46,21.74,2.518
12.47,21.76,2.508
12.48,21.79,2.498
12.49,21.81,2.488
12.5,21.84,2.479
12.51,21.86,2.469
12.52,21.88,2.459
12.53,21.91,2.449
12.54,21.93,2.439
12.55,21.96,2.429
12.56,21.98,2.419
12.57,22.01,2.409
12.58,22.03,2.399
12.59,22.05,2.389
12.6,22.08,2.379
12.61,22.1,2.369
12.62,22.13,2.359
12.63,22.15,2.349
12.64,22.17,2.339
12.65,22.2,2.329
12.66,22.22,2.318
12.67,22.24,2.308
12.68,22.27,2.298
12.69,22.29,2.288
12.7,22.31,2.278
12.71,22.33,2.268
12.72,22.36,2.258
12.73,22.38,2.247
12.74,22.4,2.237
12.75,22.42,2.227
12.76,22.45,2.217
12.77,22.47,2.207
12.78,22.49,2.197
12.79,22.51,2.186
12.8,22.53,2.176
12.81,22.56,2.166
12.82,22.58,2.156
12.83,22.6,2.146
12.84,22.62,2.136
12.85,22.64,2.125
12.86,22.66,2.115
12.87,22.68,2.105
12.88,22.7,2.095
12.89,22.73,2.085
12.9,22.75,2.075
12.91,22.77,2.065
12.92,22.79,2.055
12.93,22.81,2.045
12.94,22.83,2.035
12.95,22.85,2.024
12.96,22.87,2.014
12.97,22.89,2.004
12.98,22.91,1.994
12.99,22.93,1.984
13,22.95,1.974
13.01,22.97,1.964
13.02,22.99,1.954
13.03,23.01,1.944
13.04,23.03,1.934
13.05,23.05,1.924
13.06,23.07,1.914
13.07,23.08,1.905
13.08,23.1,1.895
13.09,23.12,1.885
13.1,23.14,1.875
13.11,23.16,1.865
13.12,23.18,1.855
13.13,23.2,1.845
13.14,23.22,1.835
13.15,23.23,1.825
13.16,23.25,1.815
