PdTarget=0.10 n=1539
 p1 s=18 2/20 Pd=0.10
 p2 s=18 2/20 Pd=0.10
 p3 s=18 3/20 Pd=0.15
 p4 s=18 7/20 Pd=0.35
 p5 s=18 0/20 Pd=0.00
 p6 s=18 2/20 Pd=0.10
 p7 s=20 2/20 Pd=0.10
 p8 s=19 3/20 Pd=0.15
 p9 s=20 2/20 Pd=0.10
 p10 s=20 1/20 Pd=0.05
 Pdavg=0.12 Pdest=0.10
PdTarget=0.20 n=3261
 p1 s=18 4/20 Pd=0.20
 p2 s=18 5/20 Pd=0.25
 p3 s=18 6/20 Pd=0.30
 p4 s=18 14/20 Pd=0.70
 p5 s=18 0/20 Pd=0.00
 p6 s=18 6/20 Pd=0.30
 p7 s=20 1/20 Pd=0.05
 p8 s=19 2/20 Pd=0.10
 p9 s=20 2/20 Pd=0.10
 p10 s=20 1/20 Pd=0.05
 Pdavg=0.20 Pdest=0.20
PdTarget=0.30 n=5212
 p1 s=18 6/20 Pd=0.30
 p2 s=18 4/20 Pd=0.20
 p3 s=18 11/20 Pd=0.55
 p4 s=18 10/20 Pd=0.50
 p5 s=18 3/20 Pd=0.15
 p6 s=18 7/20 Pd=0.35
 p7 s=20 2/20 Pd=0.10
 p8 s=19 7/20 Pd=0.35
 p9 s=20 4/20 Pd=0.20
 p10 s=20 5/20 Pd=0.25
 Pdavg=0.29 Pdest=0.30
PdTarget=0.40 n=7465
 p1 s=18 9/20 Pd=0.45
 p2 s=18 10/20 Pd=0.50
 p3 s=18 10/20 Pd=0.50
 p4 s=18 13/20 Pd=0.65
 p5 s=18 3/20 Pd=0.15
 p6 s=18 6/20 Pd=0.30
 p7 s=20 7/20 Pd=0.35
 p8 s=19 11/20 Pd=0.55
 p9 s=20 9/20 Pd=0.45
 p10 s=20 4/20 Pd=0.20
 Pdavg=0.41 Pdest=0.40
PdTarget=0.50 n=10130
 p1 s=18 14/20 Pd=0.70
 p2 s=18 4/20 Pd=0.20
 p3 s=18 11/20 Pd=0.55
 p4 s=18 17/20 Pd=0.85
 p5 s=18 5/20 Pd=0.25
 p6 s=18 7/20 Pd=0.35
 p7 s=20 5/20 Pd=0.25
 p8 s=19 10/20 Pd=0.50
 p9 s=20 11/20 Pd=0.55
 p10 s=20 6/20 Pd=0.30
 Pdavg=0.45 Pdest=0.50
PdTarget=0.60 n=13391
 p1 s=18 13/20 Pd=0.65
 p2 s=18 8/20 Pd=0.40
 p3 s=18 13/20 Pd=0.65
 p4 s=18 19/20 Pd=0.95
 p5 s=18 3/20 Pd=0.15
 p6 s=18 8/20 Pd=0.40
 p7 s=20 10/20 Pd=0.50
 p8 s=19 14/20 Pd=0.70
 p9 s=20 13/20 Pd=0.65
 p10 s=20 5/20 Pd=0.25
 Pdavg=0.53 Pdest=0.60
PdTarget=0.70 n=17596
 p1 s=18 19/20 Pd=0.95
 p2 s=18 11/20 Pd=0.55
 p3 s=18 16/20 Pd=0.80
 p4 s=18 19/20 Pd=0.95
 p5 s=18 4/20 Pd=0.20
 p6 s=18 14/20 Pd=0.70
 p7 s=20 4/20 Pd=0.20
 p8 s=19 17/20 Pd=0.85
 p9 s=20 15/20 Pd=0.75
 p10 s=20 3/20 Pd=0.15
 Pdavg=0.61 Pdest=0.70
PdTarget=0.80 n=23521
 p1 s=18 17/20 Pd=0.85
 p2 s=18 15/20 Pd=0.75
 p3 s=18 19/20 Pd=0.95
 p4 s=18 20/20 Pd=1.00
 p5 s=18 7/20 Pd=0.35
 p6 s=18 17/20 Pd=0.85
 p7 s=20 7/20 Pd=0.35
 p8 s=19 19/20 Pd=0.95
 p9 s=20 16/20 Pd=0.80
 p10 s=20 8/20 Pd=0.40
 Pdavg=0.72 Pdest=0.80
PdTarget=0.90 n=33652
 p1 s=18 19/20 Pd=0.95
 p2 s=18 17/20 Pd=0.85
 p3 s=18 20/20 Pd=1.00
 p4 s=18 20/20 Pd=1.00
 p5 s=18 13/20 Pd=0.65
 p6 s=18 19/20 Pd=0.95
 p7 s=20 13/20 Pd=0.65
 p8 s=19 19/20 Pd=0.95
 p9 s=20 20/20 Pd=1.00
 p10 s=20 14/20 Pd=0.70
 Pdavg=0.87 Pdest=0.90
PdTarget=0.95 n=43782
 p1 s=18 20/20 Pd=1.00
 p2 s=18 14/20 Pd=0.70
